priority,hub_name,proposed_slug,current_status,current_url,primary_intent,example_existing_urls,cornerstone_pages_to_create,notes
P1,Coin Reviews,/coin-reviews/,missing,,coin review and token explainer,"https://coincu.com/what-is-humanity-protocol/ | https://coincu.com/what-is-usd-ai-chip/ | https://coincu.com/terra-classic-lunc-explained/ | https://coincu.com/buildon-b-review-5-facts-behind-usd1-meme-proxy/","Best Crypto Coin Reviews | How Coincu Reviews Tokens | Toncoin Review | SUI Review | SEI Review",Split token intent from protocol intent
P1,Protocol Reviews,/protocol-reviews/,missing,,protocol and project review,"https://coincu.com/285577-the-open-network-review/ | https://coincu.com/walrus-protocol-review-scalable-secure-and-cost-efficient-solution-for-blockchain-storage/ | https://coincu.com/what-is-kaito-ai-ai-powered-research-web3/","Best Protocol Reviews | How Coincu Reviews Crypto Protocols | Layer 1 Protocol Reviews | AI Protocol Reviews",Use for project-level trust and technology analysis
P1,Exchange Reviews,/exchange-reviews/,partial,https://coincu.com/exchange-reviews/,exchange review,"https://coincu.com/exchange-reviews/bitfinex-review/ | https://coincu.com/exchange-reviews/kucoin-review/ | https://coincu.com/exchange-reviews/coincheck-review-the-simplest-way/ | https://coincu.com/other-reviews/coinw-review-innovative-global-exchange/","Best Crypto Exchanges Reviewed | How Coincu Reviews Exchanges | Centralized Exchange Reviews | Beginner-Friendly Exchange Reviews",Upgrade archive into stronger hub
P1,Wallet Reviews,/wallet-reviews/,missing,,wallet review and wallet guide,"https://coincu.com/other-reviews/tonkeeper-wallet-review/ | https://coincu.com/knowledge/how-to-create-and-use-ton-wallets/ | https://coincu.com/other-reviews/rabby-wallet-review-the-game-changing-wallet/","Best Crypto Wallet Reviews | How Coincu Reviews Wallets | Best TON Wallets | Best Wallets for Beginners",Separate wallet intent from exchange reviews
P1,Ecosystem Parent,/ecosystems/,missing,,ecosystem navigation,"https://coincu.com/knowledge/overview-of-ton-ecosystem/ | https://coincu.com/333834-top-sui-ecosystem-tokens-to-watch-in-2025/","TON Ecosystem Guide | Sui Ecosystem Guide | Best Projects in the TON Ecosystem | Best Projects in the Sui Ecosystem",Create child hubs only where coverage depth exists
P1,Crypto Glossary,/crypto-glossary/,exists,https://coincu.com/crypto-glossary/,reference glossary,https://coincu.com/crypto-glossary/,"Topic navigation upgrade | stronger glossary-to-review internal links",Keep as evergreen reference hub
P2,On-chain Movers,/on-chain-movers/,partial,https://coincu.com/knowledge/,why is x pumping and on-chain explainer,"https://coincu.com/why-is-buildon-b-pumping/ | https://coincu.com/why-is-humanity-protocol-h-surging/ | https://coincu.com/why-is-skyai-skyai-pumping-today/","How Coincu Analyzes Why a Coin Is Pumping | Latest On-chain Movers",Pull repeated pattern out of broad Knowledge bucket
P2,Airdrop Guides,/airdrop-guides/,missing,,airdrop and fairdrop guide,,,Only build if team can keep pages updated and risk-labeled
P2,DeFi Guides,/defi-guides/,missing,,staking yield and DeFi education,,,Build after review hubs are stable
P2,Security Guides,/crypto-security/,missing,,security scam and incident guides,,,Useful for trust if evidence-based
