priority_bucket,keyword,keyword_type,target_page,target_slug_or_url,intent,mapped_section,current_status,action_priority,supporting_urls,semrush_volume,semrush_kd,semrush_cpc,semrush_intent,serp_notes,decision_after_semrush,notes
P1,coin reviews,Hub,Coin Reviews,/coin-reviews/,Commercial Investigation,Hub Title + Intro,Missing,Keep as primary hub target,https://coincu.com/crypto-reviews/ | https://coincu.com/other-reviews/,,,,,Validate as core hub keyword,,
P1,crypto coin reviews,Hub,Coin Reviews,/coin-reviews/,Commercial Investigation,Hub Title + Intro,Missing,Keep as supporting hub target,https://coincu.com/crypto-reviews/ | https://coincu.com/other-reviews/,,,,,Check overlap with 'coin reviews',,
P1,best crypto coin reviews,Hub / Comparison,Best Crypto Coin Reviews,/best-crypto-coin-reviews/,Commercial Investigation,Featured + Future comparison page,Missing,Decide if same page as hub or child comparison page,https://coincu.com/crypto-reviews/ | https://coincu.com/other-reviews/,,,,,Likely comparison-style SERP,,
P2,crypto token reviews,Hub,Coin Reviews,/coin-reviews/,Commercial Investigation,Intro + FAQ,Missing,Use only as supporting variation,https://coincu.com/crypto-reviews/ | https://coincu.com/other-reviews/,,,,,Check if same intent as 'coin reviews',,
P1,meme coin review,Category,Meme and Narrative Coins,/coin-reviews/#meme-and-narrative-coins,Commercial Investigation,Meme and Narrative Coins,Partial,Validate as category keyword,https://coincu.com/buildon-b-review-5-facts-behind-usd1-meme-proxy/ | https://coincu.com/pepe-coin-review/ | https://coincu.com/wojak-coin-review/ | https://coincu.com/dogs-memecoin-review-telegrams-memecoin-project/,,,,,Use to justify meme subsection or child roundup,,
P2,best meme coin reviews,Category / Comparison,Best Meme Coin Reviews,/best-meme-coin-reviews/,Commercial Investigation,Meme and Narrative Coins,Missing,Potential child roundup page,https://coincu.com/pepe-coin-review/ | https://coincu.com/wojak-coin-review/ | https://coincu.com/dogs-memecoin-review-telegrams-memecoin-project/,,,,,May deserve separate page if demand is real,,
P1,ai coin review,Category,AI and Data Coins,/coin-reviews/#ai-and-data-coins,Commercial Investigation,AI and Data Coins,Partial,Validate as category keyword,https://coincu.com/what-is-usd-ai-chip/ | https://coincu.com/bittensor-review-2024-machine-intelligence/ | https://coincu.com/fetchai-review-ai-coin-storming-fet/ | https://coincu.com/singularitynet-review/ | https://coincu.com/skyai-skyai-review-mcp-data-rail-thesis/,,,,,Important support cluster for hub,,
P2,best ai coin reviews,Category / Comparison,Best AI Coin Reviews,/best-ai-coin-reviews/,Commercial Investigation,AI and Data Coins,Missing,Potential child roundup page,https://coincu.com/bittensor-review-2024-machine-intelligence/ | https://coincu.com/fetchai-review-ai-coin-storming-fet/ | https://coincu.com/singularitynet-review/ | https://coincu.com/skyai-skyai-review-mcp-data-rail-thesis/,,,,,Check if roundup intent is distinct enough,,
P2,new crypto coin reviews,Freshness Layer,Coin Reviews,/coin-reviews/#recently-updated-coin-reviews,Informational,Recently Updated Coin Reviews,Missing,Use as supporting freshness phrase,https://coincu.com/skyai-skyai-review-mcp-data-rail-thesis/ | https://coincu.com/buildon-b-review-5-facts-behind-usd1-meme-proxy/ | https://coincu.com/solana-seeker-review-next-generation-of-solana/,,,,,Likely lower-volume but useful section label,,
P2,latest coin reviews,Freshness Layer,Coin Reviews,/coin-reviews/#recently-updated-coin-reviews,Informational,Recently Updated Coin Reviews,Missing,Use as supporting freshness phrase,https://coincu.com/skyai-skyai-review-mcp-data-rail-thesis/ | https://coincu.com/buildon-b-review-5-facts-behind-usd1-meme-proxy/,,,,,Check if this query is too newsy,,
P2,tokenomics explained,Supporting / Glossary,Crypto Glossary / Knowledge,/crypto-glossary/ or /knowledge/,Informational,Methodology + Related Hubs,Partial,Support methodology section and glossary linking,https://coincu.com/knowledge/ | https://coincu.com/crypto-glossary/,,,,,Good supporting intent not primary hub target,,
P2,layer 1 coin review,Category,Layer 1 and Infrastructure Coins,/coin-reviews/#layer-1-and-infrastructure-coins,Commercial Investigation,Layer 1 and Infrastructure Coins,Partial,Validate category demand,https://coincu.com/285577-the-open-network-review/ | https://coincu.com/other-reviews/sei-network-review/ | https://coincu.com/ankr-review/,,,,,Could support separate child roundup later,,
P3,blockchain coin review,Category,Layer 1 and Infrastructure Coins,/coin-reviews/#layer-1-and-infrastructure-coins,Commercial Investigation,Layer 1 and Infrastructure Coins,Partial,Use only if Semrush shows meaningful demand,https://coincu.com/285577-the-open-network-review/ | https://coincu.com/other-reviews/sei-network-review/,,,,,May overlap heavily with generic coin review intent,,
