batch,row_num,id,url,title,rest_status_before,delete_http,delete_result_status,rest_status_after,rest_slug_after,frontend_first_code,frontend_first_location,frontend_final_code,frontend_final_url,redirect_by,redirect_chain
1,1,42918,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends-2/,BlockDAG Joins Global Exchanges: Secure 95x ROI at Just $0.0000061! More on Ethereum Prediction & BNB Coin Trends,trash,skip,already_trash,trash,blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends-2__trashed,301,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends/?_t=1781229193,200,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends/?_t=1781229193,Rank Math,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends-2/?_t=1781229193 -> https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends/?_t=1781229193
1,2,42911,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends/,BlockDAG Joins Global Exchanges: Secure 95x ROI at Just $0.0000061! More on Ethereum Prediction & BNB Coin Trends,publish,200,trash,trash,blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends__trashed,404,,404,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends/?_t=1781229197,,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends/?_t=1781229197
1,3,42015,https://theccpress.com/blockdag-eyes-1-2-billion-marketcap-why-this-could-be-the-top-crypto-to-buy-now-before-the-top-50-trigger/,BlockDAG Eyes $1.2 Billion Marketcap — Why This Could Be the Top Crypto to Buy Now Before the Top 50 Trigger,publish,200,trash,trash,blockdag-eyes-1-2-billion-marketcap-why-this-could-be-the-top-crypto-to-buy-now-before-the-top-50-trigger__trashed,404,,404,https://theccpress.com/blockdag-eyes-1-2-billion-marketcap-why-this-could-be-the-top-crypto-to-buy-now-before-the-top-50-trigger/?_t=1781229201,,https://theccpress.com/blockdag-eyes-1-2-billion-marketcap-why-this-could-be-the-top-crypto-to-buy-now-before-the-top-50-trigger/?_t=1781229201
1,4,42004,https://theccpress.com/the-next-crypto-to-explode-blockdag-leads-100x-roi-bitcoin-cash-hyperliquid-and-pump-fun-close-behind-2/,"The Next Crypto to Explode: BlockDAG Leads 100x ROI, Bitcoin Cash, Hyperliquid, and Pump.fun Close Behind!",publish,200,trash,trash,the-next-crypto-to-explode-blockdag-leads-100x-roi-bitcoin-cash-hyperliquid-and-pump-fun-close-behind-2__trashed,404,,404,https://theccpress.com/the-next-crypto-to-explode-blockdag-leads-100x-roi-bitcoin-cash-hyperliquid-and-pump-fun-close-behind-2/?_t=1781229204,,https://theccpress.com/the-next-crypto-to-explode-blockdag-leads-100x-roi-bitcoin-cash-hyperliquid-and-pump-fun-close-behind-2/?_t=1781229204
1,5,41097,https://theccpress.com/remittixs-payments-narrative-is-impressive-but-experts-say-zkp-crypto-could-explode-by-8000x/,"Remittix’s Payments Narrative Is Impressive, but Experts Say ZKP Crypto Could Explode By 8000x!",publish,200,trash,trash,remittixs-payments-narrative-is-impressive-but-experts-say-zkp-crypto-could-explode-by-8000x__trashed,404,,404,https://theccpress.com/remittixs-payments-narrative-is-impressive-but-experts-say-zkp-crypto-could-explode-by-8000x/?_t=1781229208,,https://theccpress.com/remittixs-payments-narrative-is-impressive-but-experts-say-zkp-crypto-could-explode-by-8000x/?_t=1781229208
1,6,41084,https://theccpress.com/will-blockdag-hit-1-in-2026-why-analysts-say-this-best-crypto-presale-could-deliver-2000x-returns/,"Will BlockDAG Hit $1 in 2026? Why Analysts Say This Best Crypto Presale Could Deliver 2,000x Returns",publish,200,trash,trash,will-blockdag-hit-1-in-2026-why-analysts-say-this-best-crypto-presale-could-deliver-2000x-returns__trashed,404,,404,https://theccpress.com/will-blockdag-hit-1-in-2026-why-analysts-say-this-best-crypto-presale-could-deliver-2000x-returns/?_t=1781229212,,https://theccpress.com/will-blockdag-hit-1-in-2026-why-analysts-say-this-best-crypto-presale-could-deliver-2000x-returns/?_t=1781229212
1,7,41020,https://theccpress.com/dont-say-we-didnt-warn-you-blockdags-0-0005-entry-point-is-about-to-vanish-forever-is-a-1000x-move-next/,Don’t Say We Didn’t Warn You: BlockDAG’s $0.0005 Entry Point is About to Vanish Forever; Is a 1000x Move Next?,publish,200,trash,trash,dont-say-we-didnt-warn-you-blockdags-0-0005-entry-point-is-about-to-vanish-forever-is-a-1000x-move-next__trashed,404,,404,https://theccpress.com/dont-say-we-didnt-warn-you-blockdags-0-0005-entry-point-is-about-to-vanish-forever-is-a-1000x-move-next/?_t=1781229215,,https://theccpress.com/dont-say-we-didnt-warn-you-blockdags-0-0005-entry-point-is-about-to-vanish-forever-is-a-1000x-move-next/?_t=1781229215
1,8,41004,https://theccpress.com/eth-xrp-battle-volatility-but-zkp-cryptos-190m-token-daily-presale-auction-5m-giveaway-offer-something-bigger/,"ETH & XRP Battle Volatility, But ZKP Crypto’s 190M-Token Daily Presale Auction & $5M Giveaway Offer Something Bigger!",publish,200,trash,trash,eth-xrp-battle-volatility-but-zkp-cryptos-190m-token-daily-presale-auction-5m-giveaway-offer-something-bigger__trashed,404,,404,https://theccpress.com/eth-xrp-battle-volatility-but-zkp-cryptos-190m-token-daily-presale-auction-5m-giveaway-offer-something-bigger/?_t=1781229217,,https://theccpress.com/eth-xrp-battle-volatility-but-zkp-cryptos-190m-token-daily-presale-auction-5m-giveaway-offer-something-bigger/?_t=1781229217
1,9,41013,https://theccpress.com/452m-raised-counting-heres-why-market-makers-call-blockdag-the-best-crypto-to-buy-now/,$452M Raised & Counting: Here’s Why Market Makers Call BlockDAG the Best Crypto to Buy Now,publish,200,trash,trash,452m-raised-counting-heres-why-market-makers-call-blockdag-the-best-crypto-to-buy-now__trashed,404,,404,https://theccpress.com/452m-raised-counting-heres-why-market-makers-call-blockdag-the-best-crypto-to-buy-now/?_t=1781229220,,https://theccpress.com/452m-raised-counting-heres-why-market-makers-call-blockdag-the-best-crypto-to-buy-now/?_t=1781229220
1,10,40933,https://theccpress.com/top-presale-crypto-to-buy-now-list-blockdag-blockchainfx-digitap-remittix-in-focus/,"Top Presale Crypto to Buy Now List: BlockDAG, BlockchainFX, Digitap, Remittix in Focus",publish,200,trash,trash,top-presale-crypto-to-buy-now-list-blockdag-blockchainfx-digitap-remittix-in-focus__trashed,404,,404,https://theccpress.com/top-presale-crypto-to-buy-now-list-blockdag-blockchainfx-digitap-remittix-in-focus/?_t=1781229223,,https://theccpress.com/top-presale-crypto-to-buy-now-list-blockdag-blockchainfx-digitap-remittix-in-focus/?_t=1781229223
